,pickup_latitude
0,40.77572000000004
1,40.77337700000004
2,40.732110000000034
3,41.690002858928494
4,51.46309559100007
5,37.79120000000006
6,-33.889129999999966
7,40.63983000000008
8,33.77129000787218
9,40.716260000000034
10,36.26240000000007
11,43.67076000000003
12,40.797045000000026
13,-17.008869999999945
14,30.047550000000054
15,29.913383000000067
16,38.022520823249984
17,39.75189000000006
18,44.379834926295786
19,38.29298000000006
20,40.75880000000007
21,35.82172700000007
22,-28.631609999999966
23,40.75440000000003
24,40.757218388630974
25,40.72657000000004
26,37.78782000000007
27,-28.60635999999994
28,40.749190000000056
29,32.72341000000006
30,-37.81559999999996
31,40.81000000000006
32,51.45873929000004
33,40.76748000000004
34,40.74213000000003
35,41.95065000000005
36,22.916670000000067
37,51.51298028000008
38,42.566760000000045
39,37.43070792102756
40,40.74491524046264
41,40.76439000000005
42,40.711310000000026
43,43.05297000000007
44,28.809069992885497
45,46.32379000000003
46,37.94202000000007
47,40.72599000000002
48,33.767900000000054
49,-33.735388423811166
50,40.78343000000007
51,47.551150000000064
52,40.68682000000007
53,36.679385395501846
54,40.74482000000006
55,55.95901000000004
56,18.157695292000028
57,40.77205000000004
58,28.96926000000008
59,40.842310000000055
60,43.24592900000005
61,40.67010000000005
62,40.74987216644833
63,37.68289000000004
64,37.79660000000007
65,40.73472000000004
66,40.68094000000008
67,36.99663000000004
68,40.69292381182107
69,40.71478000000008
70,10.997000000000073
71,51.75943000000007
72,37.42931000000005
73,42.91092000000003
74,40.68020000000007
75,40.69319000000007
76,40.68372000000005
77,40.77376000000004
78,40.70800000000003
79,40.61624000000006
80,41.421110000000056
81,28.793660000000045
82,40.866310000000055
83,40.67544000000004
84,40.791720000000055
85,-27.494719999999973
86,42.09687000000008
87,40.74940000000004
88,40.83899000000008
89,40.70225596854097
90,40.730020000000025
91,40.85546000000005
92,52.13685632500005
93,33.87925000000007
94,40.640310000000056
95,40.72729000000004
96,40.73194000000007
97,43.83223900000007
98,40.83976000000007
99,40.61024861375304
100,40.74612000000008
101,32.369200000000035
102,40.74905000000007
103,40.73034000000007
104,40.83318000000003
105,37.89369000000005
106,40.723040000000026
107,37.78068000000008
108,51.44254000000007
109,31.120200000000068
110,40.708650000000034
111,42.13850000000008
112,40.71238000000005
113,40.65483000000006
114,40.62122000000005
115,41.903850000000034
116,40.98201000000006
117,-32.25138999999996
118,40.87239000000005
119,40.70049000000006
120,51.75231362300008
121,40.67019000000005
122,40.63731493202619
123,40.59146940224236
124,40.63399000000004
125,40.65061000000003
126,8.04120000000006
127,40.66677000000004
128,40.57788000000005
129,-35.02081999999996
130,40.682660000000055
131,40.64372000000003
132,40.66932000000003
133,40.66110805195903
134,-26.14788999999996
135,40.71795000000003
136,40.81419296363015
137,40.827630000000056
138,6.693945282000072
139,40.79677000000004
140,40.65881340858438
141,40.851830000000064
142,37.04073000000005
143,40.845380000000034
144,40.77630000000005
145,47.987910000000056
146,51.44251524700008
147,40.60401000000007
148,40.74800000000005
149,40.55414000000008
150,55.57077499598766
151,40.89816000000008
152,40.82268569138879
153,-33.79415999999998
154,40.95641000000006
155,40.59122000000008
156,41.17623295949578
157,40.76863000000003
158,40.672360000000026
159,39.34575000000007
160,41.99418000000003
161,40.81260000000003
162,40.67705000000007
163,40.74162000000007
164,46.43773200000004
165,40.58813800000007
166,40.67417000000006
167,34.922802854787086
168,47.64139000000006
169,25.902090000000044
170,35.88719000000003
171,33.887200000000064
172,40.85443000000004
173,42.95947000000007
174,28.756610000000023
175,40.680120000000045
176,40.84348144393428
177,40.69254000000007
178,44.60065000000003
179,40.82917000904175
180,37.962230000000034
181,42.18745000000007
182,40.71481000000006
183,37.51842000000005
184,40.833349591247625
185,40.85419000000008
186,40.86597000000006
187,40.76456000000008
188,37.30457000000007
189,43.87066900000008
190,40.86987000000005
191,34.146330000000034
192,43.07313000000005
193,28.70016000000004
194,40.86520999244658
195,40.83359000000007
196,40.69244000000003
197,40.879230000000064
198,-27.940081176433416
199,40.58119000000005
200,40.85008000000005
201,40.62149000000005
202,40.84699000000006
203,40.79066000000006
204,35.22330000000005
205,39.88844000000006
206,40.60455000000008
207,40.75306000000006
208,40.78863000000007
209,40.82910000000004
210,34.68178000000006
211,40.79649000000006
212,40.57990000000007
213,40.76583000000005
214,42.27067000000005
215,25.947770000000048
216,40.78410000000008
217,40.755660000000034
218,40.567300000000046
219,47.65577000000008
220,40.74292000000003
221,43.10552641780412
222,28.06455000000005
223,40.511280000000056
224,40.09444999047295
225,27.33468000000005
226,40.89506000000006
227,40.85946000000007
228,40.84369000000004
229,40.57284000000004
230,30.742660000000058
231,40.30974499895692
232,37.16756000000004
